message,response
Hey there!,Hello. Are you interested in my two beautiful tables? :)
Yes I definitely am! I'd love a set like these for my living room! I have $720 cash that I could bring to your house in 30 minutes to pick up the tables. Would that price and timing work for you?,"$720 cash and in a half hour? I can definitely agree to that. You will give them a good home, right? I do love these tables."
"Hi! I would love to own your Toyota.  Could we talk about the price, though?",Sure Is there something wrong with my offer?
I'm a college student on a budget and it woud be awesome to finally get a dependable automobile.  Why are you selling?,It's a second vehicle that I really didn't need anymore.
"2 cars? Wow!  Well, I am on a strict budget, but I could give you $8000 cash for it.",Hmm that's a bit more of a cut then I was thinking. How about the 8000 and a promissory for another 1000 over the next six months?
You would do that for me?!  THat's amazing!  SUre!,okay then
"I'm very intterested in your apartment, could you tell me a little more about it?","Yes, it is completely remodeled, 2 br, 1 bath, has a garage and other off street parking.  It is close to a grocery store and it is near the Bart."
Sounds good. Would you be able to reduce the price? I have seen similar apartments in this area for significantly cheaper. I was thinking about $1400,"I can't do !400 BUT I can do 1700 and it would include internet, water, and trash service."
"Oh wow, that sounds like quite the deal. I like not having to worry about the extra bills each month. Can I come look at the apartment today?",You can and you could move in anytime as it is available.
"Hello, I like your windmill and might be interested in buying it... can you tell me a bit about it...",It's a whimsical wall structure!  Perfect for interior decoration!  And it's a pinwheel.
How long have you owned it?,"Thirty or fifty years, It's a family heirloom of indeterminable age"
Have you cleaned it with brass cleaner at all,Of course!  It's in super special awesome condition!
But ...does it ''do'' anything? Does the pinwheel spin? It doesn't look like it spins...,Of course it spins!  It's a fantastical pinwheel!  It's BIG
But it doesn't generate electricity right?... it just spins for show right?,Of course!  It's a super spinner!  Made by Curtis!
"Well, I'm not sure I believe all that... but it is nice to look at ... I could offer you 300 for it, and I could pick it up today...","That would be acceptable, at $350"
Is there any chance I could pay you 342 instead... It's a superstition thing... 350 is bad luck...,"That is fine.  Unfortunately, I dislike the number $342.  Instead, $347"
"Ok, sounds groovy",Dynamite!
Hey I am interested in renting this place if it is still available?,It sure is as of now anyways
I have 10 classmates and myself and this place would be perfect as it is close to campus.,It sounds like you need all the room you can get. Do you have any questions about it?
Does it include any ammenities?,"Oh absolutely! It is Cable/DSL Ready , 2 blocks from campus and  1.5 blocks from Telegraph avenue, it has 2 full bathrooms, washer/Dryer unit, On-Site office management team and it is a clean well-run apartment building. It has a brand new kitchen as well."
Would you take 9100.00 a month or maybe cover the trash and water.  We are poor graduate students.,"$9300 is about the lowest I can go, it's got a brand new kitchen and the location is one that many want."
Okay we will take it.,Awesome! Thank you for everything
"Hi, I'm interested in your apartment. It sounds like it's really close to the bus line, isn't it?","Yes, I think you'll find it's easily within walking distance."
Sounds like a plan! Do you have any questions about the table?,You're the buyer. I'm the seller. you have questions for me
Yes my apologies! Is the table used?,Yes. It's used. But in a very nice condition still. sturdy and structurally sound. I say 100 is a good price
I would never pay the list price for a used table. How about $50?,it's an oak table. oak is an expensive wood because it's so dense and heavy. makes for great furniture wood. I'll go as low as 80 but that's about it.
"I will pay $70, under the condition that I will come and pick up the table! Is that ok with you? You wont have to pay for shipping or the cost of gas.","75, you come and pick it up. then that's a deal"
Ok sounds like a plan! Will you polish it nicely for me?,"no, I won't polish it. it's sold as is"
"Hi, I'm interested in buying the matte black iPhone 6 but I have some questions.",Excellent.  Go ahead.
"First, are there any scratches, dings, or other imperfections?","The phone is practically like new.  No scratches or dings, etc."
"Great. Do you know the retail price by chance? How long have you had it? What makes it ""custom?""",I do not know the retail price offhand.
That's okay. I can look it up.,I think I have had it like six months maybe.
"Ah, not long. Why are you getting rid of it?",IPhone 7 is out.  I want that one before the new one comes out!
